type,aid,timestamp,status,distance_m,azimuth_deg,elevation_deg,los
anchor,2,0.011,2,0.0,,,
anchor,3,0.011,2,0.0,,,
anchor,0,0.011,2,0.0,,,
anchor,1,0.011,2,0.0,,,
anchor,0,9.387,2,0.0,,,
anchor,3,9.451,2,0.0,,,
anchor,0,9.549,2,0.0,,,
anchor,3,9.632,2,0.0,,,
anchor,1,9.677,2,0.0,,,
anchor,0,9.72,0,5.112,,,
ios,0,9.728,,5.106964588165283,0,141,0
anchor,3,9.813,2,0.0,,,
anchor,1,9.875,2,0.0,,,
anchor,0,9.882,3,0.0,,,
ios,0,9.9,,5.200693130493164,0,141,0
anchor,3,9.991,2,0.0,,,
anchor,0,10.045,0,5.239,,,
ios,0,10.051,,5.222562313079834,0,141,0
anchor,1,10.074,2,0.0,,,
anchor,3,10.181,0,3.808,,,
ios,3,10.187,,3.804666042327881,0,141,0
anchor,0,10.207,0,5.267,,,
ios,0,10.211,,5.248893737792969,0,141,0
anchor,1,10.271,2,0.0,,,
anchor,0,10.359,2,0.0,,,
anchor,3,10.36,0,4.371,,,
ios,3,10.373,,4.189348220825195,0,141,0
anchor,1,10.469,2,0.0,,,
anchor,0,10.531,0,5.248,,,
anchor,3,10.532,2,0.0,,,
ios,0,10.542,,5.246407985687256,0,141,0
anchor,2,10.661,2,0.0,,,
anchor,1,10.667,2,0.0,,,
anchor,0,10.692,0,5.22,,,
ios,0,10.697,,5.225829124450684,0,141,0
anchor,3,10.721,0,3.578,,,
ios,3,10.798,,3.7322371006011963,0,141,0
anchor,2,10.823,2,0.0,,,
anchor,0,10.854,0,5.201,,,
ios,0,10.859,,5.208388805389404,0,141,0
anchor,1,10.865,2,0.0,,,
anchor,3,10.892,2,0.0,,,
anchor,2,10.993,0,2.293,,,
ios,2,11.007,,2.29521107673645,0,141,0
anchor,0,11.016,0,5.215,,,
ios,0,11.028,,5.208888053894043,0,141,0
anchor,1,11.063,2,0.0,,,
anchor,3,11.081,0,3.527,,,
ios,3,11.1,,3.5768375396728516,0,141,0
anchor,2,11.156,0,2.293,,,
ios,2,11.16,,2.292607307434082,0,141,0
anchor,0,11.179,0,5.206,,,
ios,0,11.186,,5.204987049102783,0,141,0
anchor,3,11.261,0,3.517,,,
anchor,1,11.262,5,0.0,,,
ios,3,11.286,,3.536163330078125,0,141,0
anchor,2,11.318,0,2.307,,,
anchor,0,11.341,0,5.21,,,
ios,2,11.344,,2.3006300926208496,0,141,0
anchor,3,11.432,2,0.0,,,
ios,0,11.433,,5.206851959228516,0,141,0
anchor,1,11.468,0,5.905,,,
anchor,2,11.471,2,0.0,,,
anchor,0,11.503,0,5.22,,,
ios,1,11.514,,5.897517204284668,0,141,0
ios,0,11.514,,5.211836814880371,0,141,0
anchor,3,11.622,0,3.545,,,
ios,3,11.637,,3.5412087440490723,0,141,0
anchor,2,11.642,0,2.321,,,
anchor,1,11.657,2,0.0,,,
anchor,0,11.664,0,5.22,,,
ios,2,11.674,,2.3162879943847656,0,141,0
ios,0,11.674,,5.213730335235596,0,141,0
anchor,2,11.795,2,0.0,,,
anchor,3,11.801,0,3.484,,,
ios,3,11.811,,3.4829888343811035,47,-68,1
anchor,0,11.826,0,5.201,,,
ios,0,11.841,,5.204595565795898,0,141,0
anchor,1,11.864,0,5.923,,,
ios,1,11.915,,5.914511680603027,0,141,0
anchor,2,11.966,0,2.298,,,
anchor,3,11.972,2,0.0,,,
anchor,0,11.988,0,5.182,,,
ios,2,12.004,,2.301269769668579,0,141,0
ios,0,12.004,,5.188111782073975,0,141,0
anchor,1,12.062,0,5.952,,,
ios,1,12.078,,5.946383476257324,84,81,1
anchor,2,12.128,0,2.293,,,
anchor,0,12.15,2,0.0,,,
anchor,3,12.161,0,3.513,,,
ios,2,12.165,,2.2949395179748535,0,141,0
ios,3,12.167,,3.509070634841919,48,-72,1
anchor,1,12.26,0,5.923,,,
ios,1,12.264,,5.917902946472168,83,84,1
anchor,2,12.29,0,2.27,,,
anchor,0,12.312,0,5.22,,,
ios,2,12.321,,2.2785017490386963,0,141,0
ios,0,12.321,,5.209283828735352,0,141,0
anchor,3,12.342,0,3.494,,,
ios,3,12.347,,3.4922823905944824,47,-66,1
anchor,1,12.45,2,0.0,,,
anchor,2,12.452,0,2.293,,,
ios,2,12.46,,2.2860794067382812,0,141,0
anchor,0,12.474,0,5.196,,,
ios,0,12.484,,5.197237491607666,0,141,0
anchor,3,12.521,0,3.508,,,
ios,3,12.566,,3.5075716972351074,46,-65,1
anchor,2,12.614,0,2.274,,,
ios,2,12.623,,2.2796573638916016,0,141,0
anchor,0,12.636,0,5.192,,,
ios,0,12.647,,5.190873146057129,0,141,0
anchor,1,12.656,0,5.923,,,
anchor,3,12.701,0,3.564,,,
ios,1,12.729,,5.9164042472839355,80,83,1
ios,3,12.729,,3.561234712600708,47,-66,1
anchor,2,12.776,0,2.27,,,
ios,2,12.78,,2.272756338119507,0,141,0
anchor,0,12.798,0,5.164,,,
ios,0,12.813,,5.172665119171143,0,141,0
anchor,1,12.854,0,5.923,,,
anchor,3,12.881,0,3.522,,,
ios,1,12.895,,5.92030143737793,82,87,1
ios,3,12.895,,3.5195634365081787,48,-65,1
anchor,2,12.938,0,2.274,,,
ios,2,12.942,,2.273853302001953,0,141,0
anchor,0,12.96,0,5.164,,,
ios,0,12.974,,5.165757179260254,0,141,0
anchor,3,13.053,5,0.0,,,
anchor,1,13.053,0,5.895,,,
ios,1,13.07,,5.890622138977051,80,79,1
anchor,2,13.1,0,2.27,,,
anchor,0,13.122,0,5.15,,,
ios,2,13.136,,2.2720391750335693,0,141,0
ios,0,13.136,,5.151978492736816,0,141,0
anchor,3,13.241,0,3.522,,,
anchor,1,13.242,5,0.0,,,
ios,3,13.246,,3.518064498901367,50,-65,1
anchor,2,13.262,0,2.284,,,
anchor,0,13.285,0,5.168,,,
ios,2,13.361,,2.2795302867889404,0,141,0
ios,0,13.361,,5.159201145172119,0,141,0
anchor,2,13.414,2,0.0,,,
anchor,3,13.421,0,3.517,,,
ios,3,13.427,,3.513267755508423,51,-61,1
anchor,0,13.437,2,0.0,,,
anchor,1,13.448,0,5.891,,,
ios,1,13.541,,5.887324333190918,77,69,1
anchor,2,13.586,0,2.302,,,
anchor,3,13.592,2,0.0,,,
anchor,0,13.608,0,5.159,,,
ios,2,13.626,,2.2954776287078857,0,141,0
ios,0,13.627,,5.156755447387695,0,141,0
anchor,1,13.646,0,5.928,,,
anchor,2,13.748,0,2.274,,,
anchor,0,13.77,2,0.0,,,
anchor,3,13.781,0,3.517,,,
anchor,1,13.844,0,5.895,,,
anchor,2,13.91,0,2.288,,,
anchor,0,13.933,0,5.187,,,
anchor,3,13.961,0,3.438,,,
ios,1,14.022,,5.920900821685791,75,63,1
ios,2,14.022,,2.282177448272705,0,141,0
ios,3,14.022,,3.5156662464141846,52,-59,1
ios,1,14.022,,5.892120838165283,75,63,1
ios,2,14.022,,2.2854373455047607,0,141,0
ios,0,14.022,,5.176304340362549,0,141,0
ios,3,14.022,,3.4338228702545166,52,-58,1
anchor,1,14.042,0,5.9,,,
ios,1,14.046,,5.895418643951416,73,60,1
