type,aid,timestamp,status,distance_m,azimuth_deg,elevation_deg,los
anchor,2,0.012,2,0.0,,,
anchor,3,0.012,2,0.0,,,
anchor,0,0.012,2,0.0,,,
anchor,1,0.012,2,0.0,,,
anchor,3,8.314,2,0.0,,,
anchor,3,8.476,2,0.0,,,
anchor,3,8.638,2,0.0,,,
anchor,3,8.799,2,0.0,,,
anchor,0,8.952,2,0.0,,,
anchor,3,8.961,2,0.0,,,
anchor,3,9.124,2,0.0,,,
anchor,0,9.131,2,0.0,,,
anchor,3,9.286,2,0.0,,,
anchor,0,9.311,2,0.0,,,
anchor,3,9.448,2,0.0,,,
anchor,0,9.491,2,0.0,,,
anchor,3,9.61,2,0.0,,,
anchor,2,9.664,2,0.0,,,
anchor,0,9.671,2,0.0,,,
anchor,3,9.772,2,0.0,,,
anchor,0,9.85,2,0.0,,,
anchor,2,9.861,2,0.0,,,
anchor,3,9.934,2,0.0,,,
anchor,0,10.032,2,0.0,,,
anchor,2,10.06,2,0.0,,,
anchor,3,10.096,2,0.0,,,
anchor,0,10.211,2,0.0,,,
anchor,2,10.257,2,0.0,,,
anchor,3,10.258,2,0.0,,,
anchor,0,10.391,2,0.0,,,
anchor,3,10.42,2,0.0,,,
anchor,2,10.456,2,0.0,,,
anchor,0,10.571,2,0.0,,,
anchor,3,10.581,2,0.0,,,
anchor,2,10.654,2,0.0,,,
anchor,3,10.744,2,0.0,,,
anchor,0,10.751,2,0.0,,,
anchor,2,10.852,2,0.0,,,
anchor,3,10.906,2,0.0,,,
anchor,0,10.931,2,0.0,,,
anchor,2,11.059,0,2.073,,,
anchor,3,11.068,2,0.0,,,
ios,2,11.074,,2.0727651119232178,0,141,0
anchor,0,11.111,2,0.0,,,
anchor,3,11.229,2,0.0,,,
anchor,2,11.257,0,1.988,,,
ios,2,11.269,,2.0143370628356934,0,141,0
anchor,0,11.291,2,0.0,,,
anchor,3,11.392,2,0.0,,,
anchor,2,11.455,0,2.049,,,
anchor,0,11.471,2,0.0,,,
ios,2,11.474,,2.037217617034912,0,141,0
anchor,3,11.554,2,0.0,,,
anchor,2,11.644,2,0.0,,,
anchor,0,11.651,2,0.0,,,
anchor,3,11.725,0,3.503,,,
ios,3,11.729,,3.5024752616882324,0,141,0
anchor,0,11.832,2,0.0,,,
anchor,2,11.851,0,2.03,,,
ios,2,11.872,,2.032348155975342,0,141,0
anchor,3,11.887,2,0.0,,,
anchor,0,12.011,2,0.0,,,
anchor,3,12.04,2,0.0,,,
anchor,2,12.04,2,0.0,,,
anchor,0,12.191,2,0.0,,,
anchor,3,12.211,0,3.752,,,
ios,3,12.226,,3.7021515369415283,0,141,0
anchor,2,12.237,2,0.0,,,
anchor,3,12.364,2,0.0,,,
anchor,0,12.381,0,4.779,,,
ios,0,12.388,,4.7732954025268555,0,141,0
anchor,2,12.445,0,2.096,,,
ios,2,12.46,,2.0857112407684326,0,141,0
anchor,3,12.535,0,3.71,,,
ios,3,12.546,,3.7067911624908447,0,141,0
anchor,0,12.56,0,4.751,,,
ios,0,12.604,,4.755559921264648,0,141,0
anchor,2,12.643,0,2.096,,,
ios,2,12.647,,2.0921268463134766,0,141,0
anchor,3,12.697,0,3.728,,,
ios,3,12.713,,3.718522071838379,0,141,0
anchor,0,12.74,0,4.779,,,
anchor,2,12.841,0,2.115,,,
anchor,3,12.859,0,3.536,,,
ios,0,12.876,,4.769866466522217,0,141,0
ios,2,12.876,,2.105983018875122,0,141,0
ios,3,12.877,,3.602508783340454,0,141,0
anchor,0,12.92,0,4.788,,,
ios,0,12.93,,4.779525279998779,0,141,0
anchor,3,13.02,0,3.625,,,
ios,3,13.029,,3.6146602630615234,0,141,0
anchor,2,13.038,0,2.044,,,
ios,2,13.092,,2.066978693008423,0,141,0
anchor,0,13.1,0,4.798,,,
ios,0,13.175,,4.78760290145874,0,141,0
anchor,3,13.182,0,3.62,,,
anchor,2,13.236,3,0.0,,,
ios,3,13.257,,3.616480827331543,0,141,0
ios,2,13.261,,2.0725293159484863,0,141,0
anchor,0,13.28,0,4.798,,,
ios,0,13.336,,4.791290283203125,0,141,0
anchor,3,13.345,0,3.611,,,
ios,3,13.351,,3.612152338027954,0,141,0
anchor,2,13.435,0,2.091,,,
ios,2,13.44,,2.086019515991211,0,141,0
anchor,0,13.461,0,4.784,,,
ios,0,13.497,,4.785355567932129,0,141,0
anchor,3,13.507,0,3.381,,,
ios,3,13.511,,3.466607093811035,0,141,0
anchor,0,13.63,2,0.0,,,
anchor,2,13.633,0,2.124,,,
ios,2,13.637,,2.109708070755005,0,141,0
anchor,3,13.669,0,3.771,,,
ios,3,13.675,,3.654688596725464,0,141,0
anchor,0,13.821,0,4.798,,,
anchor,2,13.822,2,0.0,,,
anchor,3,13.822,2,0.0,,,
ios,0,13.828,,4.790426731109619,0,141,0
anchor,1,13.864,2,0.0,,,
anchor,0,13.992,2,0.0,,,
anchor,3,13.993,0,3.681,,,
ios,3,13.998,,3.672804117202759,0,141,0
anchor,1,14.026,2,0.0,,,
anchor,2,14.029,0,2.096,,,
ios,2,14.033,,2.098069429397583,0,141,0
anchor,3,14.146,2,0.0,,,
anchor,0,14.171,2,0.0,,,
anchor,1,14.197,0,5.562,,,
ios,1,14.216,,5.556653022766113,0,141,0
anchor,2,14.226,3,0.0,,,
ios,2,14.23,,2.088402509689331,0,141,0
anchor,3,14.317,0,3.555,,,
ios,3,14.334,,3.5835063457489014,0,141,0
anchor,1,14.349,2,0.0,,,
anchor,0,14.36,0,4.784,,,
ios,0,14.417,,4.781466960906982,0,141,0
anchor,2,14.424,0,2.157,,,
ios,2,14.474,,2.134558916091919,0,141,0
anchor,3,14.479,0,3.644,,,
ios,3,14.488,,3.619476795196533,0,141,0
anchor,1,14.52,0,5.558,,,
anchor,0,14.54,0,4.793,,,
ios,1,14.555,,5.551856517791748,54,36,1
ios,0,14.555,,4.7861552238464355,0,141,0
anchor,2,14.623,0,2.11,,,
ios,2,14.64,,2.117272138595581,0,141,0
anchor,3,14.641,0,3.728,,,
anchor,1,14.683,0,5.534,,,
anchor,0,14.72,0,4.737,,,
ios,3,14.771,,3.6862246990203857,0,141,0
ios,1,14.771,,5.529671669006348,45,34,1
ios,0,14.771,,4.7531352043151855,0,141,0
anchor,3,14.803,0,3.639,,,
ios,3,14.816,,3.655174970626831,0,141,0
anchor,2,14.821,0,2.068,,,
anchor,1,14.845,0,5.572,,,
ios,2,14.885,,2.0848217010498047,0,141,0
ios,1,14.885,,5.568645000457764,37,32,1
anchor,0,14.901,0,4.727,,,
ios,0,14.908,,4.734617233276367,0,141,0
anchor,3,14.965,0,3.71,,,
ios,3,14.981,,3.6883912086486816,0,141,0
anchor,1,15.007,0,5.595,,,
anchor,2,15.009,2,0.0,,,
ios,1,15.05,,5.588730812072754,38,35,1
anchor,0,15.08,0,4.727,,,
anchor,3,15.127,0,3.724,,,
ios,0,15.129,,4.722031116485596,85,57,1
ios,3,15.132,,3.7097442150115967,0,141,0
anchor,1,15.169,0,5.6,,,
ios,1,15.177,,5.594427108764648,39,38,1
anchor,2,15.217,0,13.658,,,
anchor,0,15.26,0,4.723,,,
ios,0,15.266,,4.718433380126953,83,58,1
anchor,3,15.289,0,3.696,,,
ios,3,15.296,,3.698333501815796,0,141,0
anchor,1,15.331,0,5.581,,,
ios,1,15.372,,5.575839996337891,39,36,1
anchor,2,15.415,0,13.686,,,
anchor,0,15.441,0,4.727,,,
anchor,3,15.441,2,0.0,,,
ios,0,15.468,,4.723529815673828,80,54,1
