type,aid,timestamp,status,distance_m,azimuth_deg,elevation_deg,los
anchor,2,0.014,2,0.0,,,
anchor,3,0.014,2,0.0,,,
anchor,0,0.014,2,0.0,,,
anchor,1,0.014,2,0.0,,,
anchor,2,6.847,2,0.0,,,
anchor,2,7.037,0,3.433,,,
anchor,2,7.216,0,3.447,,,
anchor,3,7.3,2,0.0,,,
anchor,2,7.397,0,3.433,,,
anchor,0,7.493,2,0.0,,,
anchor,3,7.497,2,0.0,,,
anchor,2,7.567,2,0.0,,,
ios,2,7.63,,3.430225372314453,0,141,0
anchor,0,7.655,2,0.0,,,
ios,2,7.673,,3.4410297870635986,0,141,0
ios,2,7.673,,3.4360063076019287,0,141,0
anchor,3,7.705,0,3.353,,,
anchor,2,7.756,0,3.405,,,
anchor,0,7.817,2,0.0,,,
ios,3,7.896,,3.352579116821289,0,141,0
ios,2,7.897,,3.4109904766082764,0,141,0
anchor,3,7.902,0,3.386,,,
anchor,2,7.936,0,3.466,,,
anchor,0,7.979,2,0.0,,,
anchor,3,8.101,7,0.0,,,
anchor,2,8.106,2,0.0,,,
anchor,0,8.141,2,0.0,,,
ios,3,8.146,,3.3737127780914307,0,141,0
ios,2,8.146,,3.4463651180267334,0,141,0
ios,3,8.146,,3.4182331562042236,0,141,0
anchor,2,8.287,5,0.0,,,
anchor,3,8.289,2,0.0,,,
anchor,1,8.295,2,0.0,,,
anchor,0,8.312,0,4.193,,,
ios,0,8.319,,4.190199375152588,0,141,0
anchor,0,8.465,2,0.0,,,
anchor,1,8.475,2,0.0,,,
anchor,2,8.476,0,3.456,,,
ios,2,8.491,,3.4531283378601074,0,141,0
anchor,3,8.497,0,3.423,,,
ios,3,8.5,,3.420332193374634,0,139,1
anchor,0,8.637,0,4.169,,,
anchor,1,8.656,2,0.0,,,
anchor,2,8.657,0,3.461,,,
ios,0,8.658,,4.17172384262085,0,141,0
anchor,3,8.695,0,3.48,,,
ios,2,8.718,,3.456602096557617,0,141,0
ios,3,8.718,,3.478192090988159,-1,140,1
anchor,0,8.799,0,4.132,,,
ios,0,8.806,,4.145057678222656,0,141,0
anchor,1,8.836,2,0.0,,,
anchor,2,8.836,0,3.447,,,
ios,2,8.884,,3.4479618072509766,0,141,0
anchor,3,8.893,0,3.447,,,
anchor,0,8.961,0,4.141,,,
anchor,2,9.006,2,0.0,,,
anchor,1,9.014,2,0.0,,,
anchor,3,9.082,2,0.0,,,
anchor,0,9.113,2,0.0,,,
ios,3,9.178,,3.443416118621826,0,141,1
ios,0,9.178,,4.142364501953125,0,141,0
anchor,2,9.187,2,0.0,,,
anchor,1,9.204,0,4.516,,,
ios,1,9.231,,4.512176513671875,0,141,0
anchor,3,9.28,2,0.0,,,
anchor,0,9.284,0,4.169,,,
ios,0,9.29,,4.161200523376465,0,141,0
anchor,1,9.376,2,0.0,,,
anchor,2,9.376,0,3.466,,,
anchor,0,9.446,0,4.141,,,
anchor,3,9.487,0,3.405,,,
anchor,2,9.547,2,0.0,,,
anchor,1,9.564,0,4.507,,,
anchor,0,9.608,0,4.141,,,
anchor,3,9.685,0,3.447,,,
anchor,1,9.735,2,0.0,,,
anchor,2,9.737,0,3.442,,,
anchor,0,9.77,0,4.029,,,
anchor,3,9.883,0,3.438,,,
anchor,2,9.906,2,0.0,,,
anchor,0,9.924,2,0.0,,,
anchor,1,9.925,0,4.305,,,
ios,2,9.974,,3.461843967437744,0,141,0
ios,0,9.975,,4.145352840423584,0,141,0
ios,3,9.975,,3.4032440185546875,-1,135,1
ios,1,9.975,,4.506674289703369,0,141,0
ios,0,9.975,,4.1396803855896,0,141,0
ios,3,9.975,,3.4431164264678955,0,133,1
ios,2,9.975,,3.4459335803985596,0,141,0
ios,0,9.975,,4.068720817565918,0,141,0
ios,3,9.975,,3.434422492980957,-13,102,1
ios,1,10.033,,4.301122188568115,41,62,1
anchor,3,10.081,7,0.0,,,
anchor,2,10.086,2,0.0,,,
anchor,0,10.096,0,3.832,,,
anchor,1,10.096,2,0.0,,,
ios,0,10.098,,3.8960280418395996,0,141,0
anchor,0,10.257,0,3.794,,,
ios,0,10.267,,3.8292782306671143,0,141,0
anchor,3,10.27,5,0.0,,,
anchor,1,10.275,2,0.0,,,
anchor,2,10.276,0,3.386,,,
ios,2,10.342,,3.396606206893921,0,141,0
anchor,0,10.419,0,3.827,,,
anchor,2,10.447,2,0.0,,,
anchor,1,10.464,0,4.338,,,
anchor,3,10.468,2,0.0,,,
ios,0,10.479,,3.8257157802581787,0,141,0
ios,1,10.479,,4.336497783660889,34,33,1
anchor,0,10.58,0,3.846,,,
ios,0,10.59,,3.837580442428589,0,141,0
anchor,1,10.636,2,0.0,,,
anchor,2,10.636,0,3.302,,,
ios,2,10.655,,3.323911190032959,0,141,0
anchor,3,10.675,0,3.381,,,
ios,3,10.709,,3.3777616024017334,-23,47,1
anchor,0,10.742,0,3.85,,,
ios,0,10.761,,3.842825412750244,0,141,0
anchor,2,10.807,2,0.0,,,
anchor,1,10.824,0,4.362,,,
ios,1,10.842,,4.357783317565918,36,41,1
anchor,3,10.873,0,3.344,,,
anchor,0,10.904,0,3.836,,,
ios,3,10.911,,3.3426859378814697,-62,29,1
anchor,1,10.996,2,0.0,,,
ios,0,10.996,,3.8362650871276855,0,141,0
anchor,2,10.997,0,3.33,,,
anchor,3,11.062,2,0.0,,,
anchor,0,11.066,0,3.869,,,
ios,2,11.073,,3.3267507553100586,0,141,0
ios,0,11.076,,3.855525493621826,0,141,0
anchor,2,11.167,2,0.0,,,
anchor,1,11.186,0,4.38,,,
ios,1,11.202,,4.376370429992676,38,43,1
anchor,0,11.228,0,3.85,,,
ios,0,11.236,,3.8505709171295166,0,141,0
anchor,3,11.269,0,3.362,,,
anchor,1,11.355,2,0.0,,,
anchor,2,11.356,0,3.316,,,
anchor,0,11.39,0,3.86,,,
anchor,3,11.467,0,3.353,,,
anchor,2,11.527,2,0.0,,,
anchor,0,11.543,2,0.0,,,
anchor,1,11.545,0,4.366,,,
anchor,3,11.664,0,3.339,,,
ios,3,11.666,,3.3591744899749756,-72,25,1
ios,2,11.666,,3.315767765045166,0,141,0
ios,0,11.666,,3.853523015975952,0,141,0
ios,3,11.666,,3.3531787395477295,-77,13,1
ios,1,11.666,,4.363779067993164,39,42,1
anchor,2,11.707,2,0.0,,,
anchor,0,11.714,0,3.855,,,
anchor,1,11.715,2,0.0,,,
ios,3,11.735,,3.3378891944885254,-82,10,1
ios,0,11.735,,3.8524420261383057,0,141,0
anchor,3,11.862,0,3.353,,,
anchor,0,11.866,2,0.0,,,
ios,3,11.878,,3.351679563522339,-84,9,1
anchor,1,11.896,2,0.0,,,
anchor,2,11.896,0,3.302,,,
ios,2,11.901,,3.3041348457336426,0,141,0
anchor,0,12.038,0,3.869,,,
ios,0,12.043,,3.8640146255493164,0,141,0
anchor,3,12.061,7,0.0,,,
anchor,2,12.067,2,0.0,,,
ios,3,12.068,,3.3345916271209717,-86,9,1
anchor,1,12.084,0,4.376,,,
ios,1,12.141,,4.372173309326172,42,39,1
anchor,0,12.2,0,3.892,,,
ios,0,12.214,,3.880223274230957,0,141,0
anchor,3,12.25,5,0.0,,,
anchor,1,12.255,2,0.0,,,
anchor,2,12.256,0,3.33,,,
ios,2,12.261,,3.3223373889923096,0,141,0
anchor,0,12.363,0,3.925,,,
ios,0,12.374,,3.90578031539917,0,141,0
anchor,2,12.426,2,0.0,,,
anchor,1,12.444,0,4.483,,,
anchor,3,12.447,2,0.0,,,
ios,1,12.476,,4.479498863220215,77,38,1
