type,aid,timestamp,status,distance_m,azimuth_deg,elevation_deg,los
anchor,2,0.012,2,0.0,,,
anchor,3,0.012,2,0.0,,,
anchor,0,0.012,2,0.0,,,
anchor,1,0.012,2,0.0,,,
anchor,0,9.318,2,0.0,,,
anchor,0,9.497,2,0.0,,,
anchor,0,9.687,0,5.178,,,
ios,0,9.72,,5.172618865966797,0,141,0
anchor,0,9.867,0,5.182,,,
anchor,0,10.046,0,5.196,,,
anchor,3,10.22,2,0.0,,,
anchor,0,10.226,0,5.187,,,
anchor,2,10.263,2,0.0,,,
anchor,0,10.407,0,5.196,,,
anchor,3,10.418,2,0.0,,,
anchor,2,10.425,2,0.0,,,
anchor,0,10.578,2,0.0,,,
anchor,2,10.587,2,0.0,,,
anchor,3,10.625,0,3.559,,,
anchor,2,10.749,2,0.0,,,
anchor,0,10.767,0,5.206,,,
anchor,3,10.823,0,3.541,,,
anchor,2,10.911,2,0.0,,,
anchor,0,10.947,0,5.173,,,
anchor,3,11.012,2,0.0,,,
anchor,2,11.082,0,2.326,,,
anchor,0,11.127,0,5.15,,,
anchor,1,11.215,2,0.0,,,
anchor,3,11.219,0,3.574,,,
anchor,2,11.244,0,2.27,,,
anchor,0,11.306,0,5.15,,,
ios,0,11.335,,5.177307605743408,0,141,0
ios,0,11.335,,5.187022686004639,0,141,0
ios,0,11.335,,5.183183670043945,0,141,0
ios,0,11.335,,5.187921047210693,0,141,0
ios,3,11.336,,3.5576372146606445,0,141,0
ios,0,11.336,,5.196819305419922,0,141,0
ios,3,11.336,,3.543755292892456,0,141,0
ios,0,11.336,,5.178909778594971,0,141,0
anchor,1,11.395,2,0.0,,,
anchor,2,11.405,0,2.331,,,
anchor,3,11.407,2,0.0,,,
anchor,0,11.478,2,0.0,,,
ios,2,11.495,,2.3257899284362793,0,141,0
ios,0,11.495,,5.157046794891357,0,141,0
ios,3,11.511,,3.56660795211792,0,141,0
ios,2,11.514,,2.2895400524139404,0,141,0
ios,0,11.514,,5.148425102233887,0,141,0
ios,2,11.514,,2.3156495094299316,0,141,0
anchor,2,11.559,2,0.0,,,
anchor,1,11.584,0,5.919,,,
ios,1,11.593,,5.912507057189941,0,141,0
anchor,3,11.615,0,3.63,,,
anchor,0,11.667,0,5.159,,,
ios,3,11.676,,3.6149449348449707,0,141,0
anchor,2,11.73,0,2.373,,,
ios,0,11.735,,5.152589797973633,0,141,0
ios,2,11.751,,2.3569743633270264,0,141,0
anchor,1,11.765,0,5.886,,,
anchor,3,11.814,0,3.635,,,
ios,1,11.816,,5.890897750854492,0,141,0
anchor,0,11.847,0,5.112,,,
anchor,2,11.892,0,2.345,,,
anchor,1,11.945,0,5.881,,,
anchor,3,12.011,0,3.803,,,
anchor,0,12.027,0,5.145,,,
anchor,2,12.054,3,0.0,,,
ios,3,12.091,,3.6340842247009277,-10,112,1
ios,0,12.091,,5.124826908111572,0,141,0
ios,2,12.091,,2.3484058380126953,0,141,0
ios,1,12.091,,5.8786301612854,62,96,1
ios,3,12.091,,3.800468921661377,-9,110,1
ios,0,12.091,,5.135264873504639,0,141,0
ios,2,12.092,,2.3475778102874756,0,141,0
anchor,1,12.124,0,5.853,,,
ios,1,12.145,,5.845952987670898,61,93,1
anchor,3,12.201,2,0.0,,,
anchor,0,12.207,0,5.131,,,
anchor,2,12.207,5,0.0,,,
ios,0,12.227,,5.130021572113037,0,141,0
anchor,1,12.305,0,5.877,,,
ios,1,12.312,,5.870835781097412,63,90,1
anchor,0,12.379,2,0.0,,,
anchor,2,12.379,0,2.274,,,
ios,2,12.393,,2.2954254150390625,0,141,0
anchor,3,12.407,0,3.663,,,
ios,3,12.47,,3.6598663330078125,-5,104,1
anchor,1,12.485,0,5.872,,,
anchor,2,12.54,0,2.274,,,
ios,1,12.556,,5.8672380447387695,63,91,1
anchor,0,12.567,0,5.131,,,
anchor,3,12.605,0,3.649,,,
ios,2,12.638,,2.282348155975342,0,141,0
ios,0,12.638,,5.126478672027588,0,141,0
ios,3,12.638,,3.644876718521118,-1,101,1
anchor,1,12.665,0,5.891,,,
ios,1,12.67,,5.883726596832275,63,92,1
anchor,2,12.701,0,2.293,,,
ios,2,12.721,,2.2875540256500244,0,141,0
anchor,0,12.747,0,5.131,,,
anchor,3,12.803,0,3.611,,,
ios,0,12.809,,5.127632141113281,0,141,0
anchor,1,12.845,0,5.877,,,
anchor,2,12.863,3,0.0,,,
ios,3,12.878,,3.608302116394043,-1,105,1
ios,1,12.878,,5.872035026550293,63,94,1
ios,2,12.878,,2.3012332916259766,0,141,0
anchor,0,12.927,0,5.126,,,
ios,0,12.938,,5.123615741729736,0,141,0
anchor,3,13.001,0,3.667,,,
ios,3,13.012,,3.663463830947876,-2,107,1
anchor,2,13.017,2,0.0,,,
anchor,1,13.024,0,5.877,,,
ios,1,13.039,,5.873234272003174,63,95,1
anchor,0,13.107,0,5.126,,,
ios,0,13.113,,5.123129367828369,0,141,0
anchor,2,13.188,0,2.279,,,
anchor,3,13.189,2,0.0,,,
ios,2,13.203,,2.283374786376953,0,141,0
anchor,1,13.205,0,5.872,,,
ios,1,13.213,,5.866638660430908,62,94,1
anchor,0,13.287,0,5.121,,,
ios,0,13.294,,5.118936061859131,0,141,0
anchor,2,13.35,0,2.302,,,
ios,2,13.368,,2.2956459522247314,0,141,0
anchor,1,13.384,2,0.0,,,
anchor,3,13.398,0,3.649,,,
ios,3,13.406,,3.64697527885437,-2,105,1
anchor,0,13.467,0,5.126,,,
ios,0,13.473,,5.120479106903076,0,141,0
anchor,2,13.512,3,0.0,,,
ios,2,13.528,,2.285301685333252,0,141,0
anchor,1,13.564,0,5.891,,,
anchor,3,13.595,0,3.639,,,
ios,1,13.609,,5.884925842285156,61,93,1
ios,3,13.609,,3.637681722640991,-3,106,1
anchor,0,13.647,0,5.15,,,
ios,0,13.661,,5.136723518371582,0,141,0
anchor,2,13.674,0,2.279,,,
ios,2,13.7,,2.280289649963379,0,141,0
anchor,1,13.744,0,5.872,,,
ios,1,13.771,,5.867837905883789,60,93,1
anchor,3,13.793,0,3.625,,,
anchor,2,13.827,5,0.0,,,
anchor,0,13.828,0,5.131,,,
ios,3,13.854,,3.624790668487549,-2,112,1
ios,0,13.854,,5.130934238433838,0,141,0
anchor,1,13.925,0,5.83,,,
ios,1,13.936,,5.826766014099121,59,92,1
anchor,3,13.982,2,0.0,,,
anchor,2,13.998,0,2.34,,,
anchor,0,13.998,2,0.0,,,
ios,2,14.004,,2.3239684104919434,0,141,0
anchor,1,14.105,0,5.895,,,
ios,1,14.117,,5.88942289352417,59,91,1
anchor,2,14.16,3,0.0,,,
anchor,3,14.18,2,0.0,,,
anchor,0,14.187,0,5.131,,,
ios,2,14.272,,2.311803102493286,0,141,0
ios,0,14.272,,5.126490592956543,0,141,0
anchor,1,14.284,0,5.862,,,
anchor,2,14.322,0,2.321,,,
ios,1,14.344,,5.85674524307251,59,92,1
ios,2,14.344,,2.3184545040130615,0,141,0
anchor,0,14.367,0,5.112,,,
anchor,3,14.387,0,3.653,,,
ios,0,14.424,,5.115530490875244,0,141,0
ios,3,14.424,,3.6493735313415527,-3,114,1
anchor,1,14.465,0,5.853,,,
anchor,2,14.484,0,2.312,,,
ios,1,14.507,,5.84655237197876,58,91,1
ios,2,14.507,,2.3144493103027344,0,141,0
anchor,0,14.547,0,5.126,,,
ios,0,14.553,,5.119256973266602,0,141,0
anchor,3,14.585,0,3.635,,,
ios,3,14.596,,3.6331849098205566,-4,109,1
anchor,2,14.636,2,0.0,,,
