type,aid,timestamp,status,distance_m,azimuth_deg,elevation_deg,los
ios,0,0.091,,9.474522590637207,-22,282,1
ios,1,0.104,,7.531407833099365,96,0,1
ios,2,0.104,,13.174899101257324,36,282,1
ios,3,0.105,,2.278583288192749,-165,0,1
ios,0,0.172,,9.46957778930664,-22,282,1
ios,1,0.179,,7.529781818389893,96,0,1
ios,2,0.179,,13.169110298156738,36,282,1
ios,3,0.179,,2.2873992919921875,-164,0,1
ios,0,0.276,,9.46196460723877,-21,282,1
ios,1,0.314,,7.530534744262695,96,0,1
ios,2,0.315,,13.162784576416016,37,282,1
ios,3,0.315,,2.2965447902679443,-164,0,1
ios,0,0.376,,9.448125839233398,-20,282,1
ios,1,0.388,,7.536072731018066,98,0,1
ios,2,0.388,,13.154747009277344,38,282,1
ios,3,0.388,,2.3086488246917725,-163,0,1
ios,0,0.496,,9.437874794006348,-23,282,1
ios,1,0.5,,7.539206504821777,95,0,1
ios,2,0.5,,13.14659595489502,35,282,1
ios,3,0.5,,2.318121910095215,-165,0,1
ios,0,0.572,,9.42688274383545,-24,282,1
ios,1,0.58,,7.544051647186279,94,0,1
ios,2,0.58,,13.140738487243652,34,282,1
ios,3,0.58,,2.325329065322876,-167,0,1
ios,0,0.756,,9.419124603271484,-23,282,1
ios,1,0.758,,7.552988052368164,95,0,1
ios,2,0.758,,13.141545295715332,35,282,1
ios,3,0.758,,2.3270907402038574,-167,0,1
ios,0,0.776,,9.411375045776367,-23,282,1
ios,1,0.807,,7.55821418762207,95,0,1
ios,2,0.807,,13.138738632202148,35,282,1
ios,3,0.807,,2.332554340362549,-167,0,1
ios,0,0.872,,9.405593872070312,-23,282,1
ios,1,0.897,,7.559699535369873,95,0,1
ios,2,0.897,,13.134259223937988,35,282,1
ios,3,0.897,,2.3373804092407227,-167,0,1
ios,0,1.001,,9.403107643127441,-20,282,1
ios,1,1.007,,7.559431552886963,98,0,1
ios,2,1.008,,13.131218910217285,38,282,1
ios,3,1.008,,2.3394548892974854,-164,0,1
ios,0,1.212,,9.404151916503906,-20,282,1
ios,1,1.212,,7.559263706207275,99,0,1
ios,2,1.212,,13.13022232055664,39,282,1
ios,3,1.212,,2.3383371829986572,-163,0,1
ios,0,1.212,,9.407313346862793,-21,282,1
ios,1,1.212,,7.556736469268799,98,0,1
ios,2,1.212,,13.131094932556152,38,282,1
ios,3,1.214,,2.335150957107544,-164,0,1
ios,0,1.271,,9.411468505859375,-20,282,1
ios,1,1.274,,7.556020736694336,98,0,1
ios,2,1.274,,13.134485244750977,38,282,1
ios,3,1.274,,2.330935001373291,-164,0,1
ios,0,1.379,,9.419839859008789,-19,282,1
ios,1,1.426,,7.5561957359313965,99,0,1
ios,2,1.426,,13.14299201965332,39,282,1
ios,3,1.426,,2.3223907947540283,-162,0,1
ios,0,1.48,,9.4237699508667,-18,282,1
ios,1,1.484,,7.557129383087158,100,0,1
ios,2,1.484,,13.14793872833252,40,282,1
ios,3,1.484,,2.3177266120910645,-162,0,1
ios,0,1.572,,9.426562309265137,-18,282,1
ios,1,1.574,,7.556693077087402,100,0,1
ios,2,1.574,,13.150352478027344,40,282,1
ios,3,1.574,,2.3151097297668457,-161,0,1
ios,0,1.687,,9.427083015441895,-18,282,1
ios,1,1.804,,7.554680824279785,100,0,1
ios,2,1.804,,13.148706436157227,41,282,1
ios,3,1.804,,2.315426826477051,-161,0,1
