type,aid,timestamp,status,distance_m,azimuth_deg,elevation_deg,los
ios,0,0.111,,16.795089721679688,40,282,1
ios,1,0.151,,2.8136186599731445,-96,0,1
ios,2,0.151,,11.070234298706055,82,282,1
ios,3,0.151,,11.34993839263916,-3,282,1
ios,0,0.151,,16.795072555541992,40,282,1
ios,1,0.151,,2.8135550022125244,-96,0,1
ios,2,0.151,,11.07026481628418,82,282,1
ios,3,0.151,,11.34985637664795,-3,282,1
ios,0,0.237,,16.7950439453125,40,282,1
ios,1,0.244,,2.813469409942627,-96,0,1
ios,2,0.244,,11.07026481628418,82,282,1
ios,3,0.244,,11.349740982055664,-3,282,1
ios,0,0.314,,16.79499053955078,40,282,1
ios,1,0.321,,2.813507556915283,-96,0,1
ios,2,0.321,,11.07026481628418,82,282,1
ios,3,0.321,,11.349700927734375,-3,282,1
ios,0,0.414,,16.79499053955078,40,282,1
ios,1,0.418,,2.813605785369873,-96,0,1
ios,2,0.418,,11.07025146484375,82,282,1
ios,3,0.418,,11.349675178527832,-3,282,1
ios,0,0.514,,16.79499053955078,40,282,1
ios,1,0.516,,2.8134779930114746,-96,0,1
ios,2,0.516,,11.070237159729004,82,282,1
ios,3,0.516,,11.349072456359863,-3,282,1
ios,0,0.694,,16.794710159301758,40,282,1
ios,1,0.751,,2.813446283340454,-96,0,1
ios,2,0.752,,11.070243835449219,82,282,1
ios,3,0.752,,11.348943710327148,-3,282,1
ios,0,0.76,,16.79463768005371,40,282,1
ios,1,0.761,,2.8134679794311523,-96,0,1
ios,2,0.761,,11.070229530334473,82,282,1
ios,3,0.761,,11.34885025024414,-3,282,1
ios,0,0.822,,16.79454231262207,40,282,1
ios,1,0.827,,2.8135132789611816,-96,0,1
ios,2,0.827,,11.070184707641602,82,282,1
ios,3,0.827,,11.348755836486816,-3,282,1
ios,0,0.916,,16.794445037841797,40,282,1
ios,1,0.919,,2.813554525375366,-96,0,1
ios,2,0.919,,11.070152282714844,82,282,1
ios,3,0.919,,11.348657608032227,-3,282,1
ios,0,1.015,,16.794445037841797,40,282,1
ios,1,1.021,,2.813600778579712,-96,0,1
ios,2,1.021,,11.070152282714844,82,282,1
ios,3,1.021,,11.348575592041016,-3,282,1
ios,0,1.157,,16.79426383972168,40,282,1
ios,1,1.161,,2.8135030269622803,-96,0,1
ios,2,1.161,,11.070152282714844,82,282,1
ios,3,1.161,,11.348078727722168,-3,282,1
ios,0,1.214,,16.794204711914062,40,282,1
ios,1,1.217,,2.813523530960083,-96,0,1
ios,2,1.217,,11.070013999938965,82,282,1
ios,3,1.217,,11.348023414611816,-3,282,1
ios,0,1.314,,16.794170379638672,40,282,1
ios,1,1.316,,2.813535213470459,-96,0,1
ios,2,1.316,,11.069995880126953,82,282,1
ios,3,1.317,,11.347991943359375,-3,282,1
ios,0,1.414,,16.794157028198242,40,282,1
ios,1,1.418,,2.813532590866089,-96,0,1
ios,2,1.419,,11.069984436035156,82,282,1
ios,3,1.419,,11.347983360290527,-3,282,1
ios,0,1.516,,16.794023513793945,40,282,1
ios,1,1.56,,2.813588857650757,-96,0,1
ios,2,1.56,,11.069918632507324,82,282,1
ios,3,1.56,,11.347854614257812,-3,282,1
ios,0,1.615,,16.794023513793945,40,282,1
ios,1,1.617,,2.8135759830474854,-96,0,1
ios,2,1.617,,11.069918632507324,82,282,1
ios,3,1.617,,11.347794532775879,-3,282,1
ios,0,1.726,,16.79384994506836,40,282,1
ios,1,1.794,,2.813380241394043,-96,0,1
ios,2,1.794,,11.069918632507324,82,282,1
ios,3,1.794,,11.347691535949707,-3,282,1
ios,0,1.843,,16.79375648498535,40,282,1
ios,1,1.845,,2.8134381771087646,-96,0,1
ios,2,1.846,,11.069845199584961,82,282,1
ios,3,1.846,,11.347136497497559,-3,282,1
ios,0,1.916,,16.793701171875,40,282,1
ios,1,1.919,,2.8134877681732178,-96,0,1
ios,2,1.92,,11.069805145263672,82,282,1
ios,3,1.92,,11.347095489501953,-3,282,1
ios,0,2.014,,16.79363441467285,40,282,1
ios,1,2.019,,2.8135533332824707,-96,0,1
ios,2,2.02,,11.069738388061523,82,282,1
ios,3,2.02,,11.347064971923828,-3,282,1
ios,0,2.114,,16.793590545654297,40,282,1
ios,1,2.116,,2.8135852813720703,-96,0,1
ios,2,2.117,,11.06970500946045,82,282,1
ios,3,2.117,,11.34703254699707,-3,282,1
ios,0,2.216,,16.793590545654297,40,282,1
ios,1,2.219,,2.8135921955108643,-96,0,1
ios,2,2.219,,11.069714546203613,82,282,1
ios,3,2.219,,11.347036361694336,-3,282,1
ios,0,2.314,,16.79368019104004,40,282,1
ios,1,2.316,,2.8136069774627686,-96,0,1
ios,2,2.316,,11.069714546203613,82,282,1
ios,3,2.316,,11.347023963928223,-3,282,1
ios,0,2.419,,16.793716430664062,40,282,1
ios,1,2.421,,2.8136074542999268,-96,0,1
ios,2,2.421,,11.069714546203613,82,282,1
ios,3,2.421,,11.34687328338623,-3,282,1
ios,0,2.516,,16.79377555847168,40,282,1
ios,1,2.521,,2.813516616821289,-96,0,1
ios,2,2.521,,11.069703102111816,82,282,1
ios,3,2.521,,11.346964836120605,-3,282,1
ios,0,2.623,,16.793529510498047,40,282,1
ios,1,2.628,,2.813514232635498,-96,0,1
ios,2,2.628,,11.069681167602539,82,282,1
ios,3,2.628,,11.346622467041016,-3,282,1
ios,0,2.776,,16.793479919433594,40,282,1
ios,1,2.78,,2.8135128021240234,-96,0,1
ios,2,2.78,,11.069663047790527,82,282,1
ios,3,2.78,,11.346553802490234,-3,282,1
ios,0,2.814,,16.793479919433594,40,282,1
ios,1,2.817,,2.8134641647338867,-96,0,1
ios,2,2.817,,11.069726943969727,82,282,1
ios,3,2.817,,11.346539497375488,-3,282,1
ios,0,2.915,,16.793479919433594,40,282,1
ios,1,2.946,,2.8134517669677734,-96,0,1
