type,aid,timestamp,status,distance_m,azimuth_deg,elevation_deg,los
anchor,2,0.011,2,0.0,,,
anchor,3,0.011,2,0.0,,,
anchor,0,0.012,2,0.0,,,
anchor,1,0.012,2,0.0,,,
anchor,2,7.963,2,0.0,,,
anchor,2,8.162,2,0.0,,,
anchor,2,8.368,3,0.0,,,
ios,2,8.381,,8.829787254333496,0,141,0
anchor,3,8.534,2,0.0,,,
anchor,1,8.548,2,0.0,,,
anchor,2,8.566,3,0.0,,,
ios,2,8.585,,8.829787254333496,0,141,0
anchor,3,8.696,2,0.0,,,
anchor,1,8.728,2,0.0,,,
anchor,2,8.756,2,0.0,,,
anchor,3,8.867,0,3.602,,,
ios,3,8.877,,3.599907875061035,0,141,0
anchor,1,8.908,2,0.0,,,
anchor,2,8.963,0,3.377,,,
ios,2,8.99,,3.3738644123077393,0,141,0
anchor,3,9.028,0,3.531,,,
ios,3,9.049,,3.5534439086914062,0,141,0
anchor,1,9.088,2,0.0,,,
anchor,2,9.16,0,3.423,,,
ios,2,9.176,,3.4082581996917725,0,141,0
anchor,3,9.19,0,3.531,,,
ios,3,9.233,,3.5399088859558105,0,141,0
anchor,1,9.278,0,4.573,,,
ios,1,9.283,,4.569436550140381,0,141,0
anchor,3,9.344,5,0.0,,,
anchor,2,9.349,2,0.0,,,
anchor,1,9.458,0,4.568,,,
ios,1,9.473,,4.5659708976745605,0,141,0
anchor,3,9.514,0,3.489,,,
ios,3,9.525,,3.500969886779785,0,141,0
anchor,2,9.556,0,3.466,,,
ios,2,9.566,,3.4495582580566406,0,141,0
anchor,0,9.622,2,0.0,,,
anchor,1,9.637,0,4.521,,,
ios,1,9.645,,4.517872333526611,75,118,1
anchor,3,9.677,0,3.489,,,
anchor,2,9.754,0,3.456,,,
anchor,1,9.818,0,4.535,,,
anchor,0,9.819,2,0.0,,,
anchor,3,9.829,2,0.0,,,
ios,3,9.916,,3.491076946258545,0,141,0
ios,2,9.916,,3.453056812286377,0,141,0
ios,1,9.916,,4.532262325286865,73,118,1
anchor,2,9.943,2,0.0,,,
anchor,1,9.988,5,0.0,,,
anchor,3,9.991,2,0.0,,,
anchor,0,10.027,0,4.207,,,
ios,0,10.032,,4.203090190887451,0,141,0
anchor,2,10.151,0,3.442,,,
anchor,3,10.152,2,0.0,,,
ios,2,10.169,,3.442105531692505,0,141,0
anchor,1,10.178,0,4.568,,,
anchor,0,10.225,0,4.174,,,
ios,1,10.236,,4.564340114593506,74,117,1
ios,0,10.236,,4.182578086853027,0,141,0
anchor,3,10.324,0,3.503,,,
ios,3,10.329,,3.497999668121338,0,141,0
anchor,2,10.348,0,3.419,,,
anchor,1,10.348,2,0.0,,,
ios,2,10.376,,3.4242043495178223,0,141,0
anchor,0,10.424,0,4.221,,,
ios,0,10.464,,4.206549644470215,0,141,0
anchor,3,10.486,0,3.461,,,
ios,3,10.489,,3.4723641872406006,0,141,0
anchor,1,10.537,0,4.568,,,
anchor,2,10.537,5,0.0,,,
ios,1,10.543,,4.566138744354248,76,121,1
anchor,0,10.621,0,4.211,,,
ios,0,10.635,,4.207425594329834,0,141,0
anchor,3,10.648,0,3.503,,,
ios,3,10.7,,3.4892842769622803,0,141,0
anchor,1,10.717,0,4.535,,,
anchor,2,10.744,0,3.442,,,
ios,1,10.791,,4.532562255859375,75,121,1
ios,2,10.791,,3.4376399517059326,0,141,0
anchor,0,10.809,5,0.0,,,
anchor,3,10.809,0,3.48,,,
ios,3,10.862,,3.4810965061187744,0,141,0
anchor,1,10.898,0,4.535,,,
ios,1,10.902,,4.531063079833984,74,121,1
anchor,2,10.943,0,3.47,,,
ios,2,10.95,,3.4570670127868652,0,141,0
anchor,3,10.973,0,3.503,,,
anchor,0,11.017,0,4.216,,,
anchor,1,11.078,2,0.0,,,
anchor,3,11.125,5,0.0,,,
anchor,2,11.13,2,0.0,,,
anchor,0,11.216,0,4.202,,,
anchor,1,11.258,0,4.544,,,
ios,3,11.294,,3.4932408332824707,0,141,0
ios,0,11.294,,4.2102742195129395,0,141,0
ios,0,11.294,,4.203092098236084,0,141,0
ios,1,11.294,,4.540356636047363,72,118,1
anchor,3,11.297,0,3.461,,,
ios,3,11.299,,3.4683971405029297,0,141,0
anchor,2,11.339,0,3.475,,,
ios,2,11.352,,3.469679832458496,0,141,0
anchor,0,11.413,0,4.202,,,
anchor,1,11.437,0,4.521,,,
ios,0,11.45,,4.200339317321777,0,141,0
ios,1,11.45,,4.51727294921875,69,113,1
anchor,3,11.458,0,3.461,,,
ios,3,11.516,,3.4612936973571777,0,141,0
anchor,2,11.536,0,3.503,,,
ios,2,11.607,,3.490530252456665,0,141,0
anchor,1,11.609,5,0.0,,,
anchor,3,11.611,5,0.0,,,
anchor,0,11.611,0,4.202,,,
ios,0,11.677,,4.1997857093811035,0,141,0
anchor,2,11.734,3,0.0,,,
ios,2,11.74,,3.5064198970794678,0,141,0
anchor,3,11.783,0,3.574,,,
anchor,1,11.789,2,0.0,,,
ios,3,11.79,,3.5417699813842773,0,141,0
anchor,0,11.809,0,4.141,,,
ios,0,11.84,,4.160565376281738,0,141,0
anchor,2,11.932,3,0.0,,,
anchor,3,11.935,2,0.0,,,
ios,2,11.937,,3.5609238147735596,0,141,0
anchor,1,11.977,0,4.455,,,
ios,1,12.003,,4.45371675491333,32,98,1
anchor,0,12.007,0,4.038,,,
ios,0,12.015,,4.079146385192871,0,141,0
anchor,3,12.107,0,3.855,,,
ios,3,12.118,,3.769994020462036,0,141,0
anchor,2,12.13,0,7.795,,,
anchor,1,12.157,0,4.423,,,
ios,1,12.168,,4.419840335845947,5,91,1
anchor,0,12.205,0,3.902,,,
anchor,3,12.269,0,3.822,,,
ios,0,12.309,,3.9008994102478027,73,68,1
ios,3,12.309,,3.8029043674468994,0,141,0
anchor,2,12.328,3,0.0,,,
anchor,1,12.328,2,0.0,,,
anchor,0,12.403,0,3.808,,,
ios,0,12.411,,3.8040664196014404,43,71,1
anchor,3,12.43,0,3.883,,,
ios,3,12.5,,3.8517682552337646,0,141,0
anchor,1,12.518,0,4.352,,,
anchor,2,12.518,5,0.0,,,
ios,1,12.527,,4.348189830780029,-38,98,1
anchor,3,12.593,0,3.86,,,
anchor,0,12.593,5,0.0,,,
ios,3,12.598,,3.8558390140533447,0,141,0
anchor,1,12.698,0,4.39,,,
ios,1,12.715,,4.3868632316589355,-56,101,1
anchor,2,12.723,3,0.0,,,
ios,2,12.746,,3.75122332572937,0,141,0
anchor,3,12.754,3,0.0,,,
anchor,0,12.799,0,3.639,,,
ios,3,12.816,,3.8527350425720215,0,141,0
ios,0,12.816,,3.6361827850341797,-9,67,1
anchor,1,12.878,0,4.371,,,
ios,1,12.882,,4.372368812561035,-56,101,0
anchor,3,12.907,5,0.0,,,
anchor,2,12.913,2,0.0,,,
anchor,0,12.997,0,3.724,,,
ios,0,13.021,,3.7222230434417725,-40,67,1
anchor,1,13.057,0,4.404,,,
ios,1,13.064,,4.3898491859436035,-56,101,0
anchor,3,13.078,3,0.0,,,
anchor,2,13.121,0,3.691,,,
ios,3,13.142,,3.845264196395874,0,141,0
ios,2,13.142,,3.7028894424438477,0,141,0
