type,aid,timestamp,status,distance_m,azimuth_deg,elevation_deg,los
anchor,2,0.01,2,0.0,,,
anchor,3,0.01,2,0.0,,,
anchor,0,0.01,2,0.0,,,
anchor,1,0.01,2,0.0,,,
anchor,1,6.289,2,0.0,,,
anchor,1,6.486,2,0.0,,,
anchor,0,6.652,2,0.0,,,
anchor,1,6.694,0,4.46,,,
ios,1,6.707,,4.458213806152344,0,141,0
anchor,0,6.813,2,0.0,,,
anchor,1,6.892,0,4.488,,,
ios,1,6.9,,4.476032257080078,0,141,0
anchor,0,6.975,2,0.0,,,
anchor,2,7.054,2,0.0,,,
anchor,1,7.09,0,4.469,,,
ios,1,7.097,,4.468406677246094,71,110,1
anchor,0,7.138,2,0.0,,,
anchor,2,7.234,2,0.0,,,
anchor,1,7.279,2,0.0,,,
anchor,0,7.298,2,0.0,,,
anchor,2,7.422,0,3.414,,,
ios,2,7.433,,3.4137368202209473,0,141,0
anchor,0,7.461,2,0.0,,,
anchor,1,7.486,0,4.474,,,
ios,1,7.493,,4.469006061553955,65,97,1
anchor,3,7.586,2,0.0,,,
anchor,2,7.603,0,3.442,,,
ios,2,7.61,,3.430656909942627,0,141,0
anchor,0,7.623,2,0.0,,,
anchor,1,7.684,0,4.512,,,
ios,1,7.688,,4.5064802169799805,60,90,1
anchor,2,7.783,0,3.47,,,
anchor,3,7.785,2,0.0,,,
anchor,0,7.785,2,0.0,,,
ios,2,7.789,,3.455650806427002,0,141,0
anchor,1,7.873,2,0.0,,,
anchor,0,7.948,2,0.0,,,
anchor,2,7.953,2,0.0,,,
anchor,3,7.991,0,3.728,,,
ios,3,7.999,,3.7261204719543457,0,141,0
anchor,1,8.08,0,4.474,,,
anchor,0,8.109,2,0.0,,,
anchor,2,8.142,0,3.391,,,
ios,1,8.155,,4.472603797912598,59,86,1
anchor,3,8.19,0,3.747,,,
ios,2,8.215,,3.4064557552337646,0,141,0
ios,3,8.215,,3.7381374835968018,0,141,0
anchor,0,8.271,2,0.0,,,
anchor,1,8.278,0,4.469,,,
ios,1,8.288,,4.466608047485352,58,87,1
anchor,2,8.323,0,3.461,,,
ios,2,8.327,,3.4420504570007324,0,141,0
anchor,3,8.387,0,3.724,,,
ios,3,8.394,,3.72686767578125,0,141,0
anchor,0,8.443,0,3.921,,,
ios,0,8.457,,3.9185872077941895,0,141,0
anchor,1,8.476,0,4.479,,,
anchor,2,8.503,0,3.438,,,
anchor,3,8.585,0,3.756,,,
anchor,0,8.605,0,3.916,,,
anchor,2,8.674,5,0.0,,,
anchor,1,8.675,0,4.465,,,
anchor,0,8.767,0,3.878,,,
anchor,3,8.783,0,3.7,,,
ios,1,8.81,,4.476500988006592,58,85,1
ios,2,8.81,,3.4375534057617188,0,141,0
ios,3,8.81,,3.743454694747925,0,141,0
ios,0,8.811,,3.915182590484619,0,141,0
ios,1,8.812,,4.462110996246338,59,84,1
ios,0,8.812,,3.8913798332214355,0,141,0
ios,3,8.812,,3.7146575450897217,0,141,0
anchor,1,8.863,5,0.0,,,
anchor,2,8.863,0,3.311,,,
ios,2,8.868,,3.3416848182678223,0,141,0
anchor,0,8.929,0,3.775,,,
ios,0,8.959,,3.8183398246765137,0,141,0
anchor,3,8.981,0,3.592,,,
ios,3,9.029,,3.634490966796875,0,141,0
anchor,2,9.043,0,3.325,,,
anchor,1,9.07,0,4.357,,,
anchor,0,9.09,0,3.733,,,
ios,2,9.11,,3.3294498920440674,0,141,0
ios,1,9.11,,4.3529863357543945,64,36,1
ios,0,9.11,,3.7629964351654053,0,141,0
anchor,3,9.18,0,3.574,,,
ios,3,9.189,,3.5732262134552,-77,49,1
anchor,2,9.223,0,3.405,,,
ios,2,9.232,,3.3774311542510986,0,141,0
anchor,0,9.252,0,3.696,,,
anchor,1,9.258,2,0.0,,,
ios,0,9.288,,3.7207911014556885,0,141,0
anchor,3,9.377,0,3.559,,,
anchor,2,9.403,0,3.377,,,
anchor,0,9.405,2,0.0,,,
anchor,1,9.466,0,4.329,,,
anchor,3,9.566,2,0.0,,,
anchor,2,9.573,2,0.0,,,
anchor,0,9.576,0,3.635,,,
anchor,1,9.664,0,4.357,,,
ios,3,9.723,,3.558236598968506,-80,21,1
ios,2,9.723,,3.3745803833007812,0,141,0
ios,1,9.723,,4.323906421661377,47,36,1
ios,0,9.723,,3.6578712463378906,0,141,0
ios,1,9.723,,4.351787090301514,53,39,1
anchor,0,9.739,0,3.639,,,
ios,0,9.762,,3.6385810375213623,78,55,1
anchor,2,9.764,0,3.372,,,
anchor,3,9.765,2,0.0,,,
ios,2,9.85,,3.371598958969116,0,141,0
anchor,1,9.862,0,4.343,,,
anchor,0,9.9,0,3.639,,,
ios,1,9.923,,4.341294765472412,54,40,1
ios,0,9.923,,3.6385810375213623,80,76,1
anchor,2,9.943,0,3.391,,,
anchor,3,9.972,0,3.606,,,
ios,2,10.011,,3.3816654682159424,0,141,0
ios,3,10.011,,3.604104995727539,-62,9,1
anchor,0,10.053,2,0.0,,,
anchor,1,10.059,0,4.333,,,
ios,1,10.07,,4.329902648925781,53,39,1
anchor,2,10.123,0,3.372,,,
ios,2,10.127,,3.373029947280884,0,141,0
anchor,3,10.169,0,3.574,,,
ios,3,10.18,,3.5720272064208984,-67,10,1
anchor,0,10.225,0,3.606,,,
ios,0,10.251,,3.6047046184539795,71,79,1
anchor,1,10.258,0,4.324,,,
anchor,2,10.303,0,3.395,,,
ios,1,10.352,,4.321508407592773,52,39,1
ios,2,10.352,,3.3858096599578857,0,141,0
anchor,3,10.368,0,3.592,,,
anchor,0,10.387,0,3.62,,,
ios,3,10.431,,3.5885157585144043,-68,9,1
ios,0,10.431,,3.616396427154541,67,83,1
anchor,1,10.456,0,4.315,,,
anchor,2,10.483,0,3.362,,,
ios,1,10.509,,4.311914920806885,52,38,1
ios,2,10.509,,3.36938738822937,0,141,0
anchor,0,10.548,0,3.602,,,
anchor,3,10.565,0,3.588,,,
ios,0,10.613,,3.601107120513916,75,71,1
ios,3,10.613,,3.584918260574341,-71,10,1
anchor,1,10.654,0,4.343,,,
anchor,2,10.654,5,0.0,,,
ios,1,10.663,,4.339495658874512,52,38,1
anchor,0,10.711,0,3.606,,,
ios,0,10.762,,3.6035053730010986,72,75,1
anchor,3,10.764,0,3.625,,,
ios,3,10.823,,3.622392177581787,-68,6,1
anchor,2,10.843,0,3.292,,,
anchor,1,10.843,2,0.0,,,
anchor,0,10.872,0,3.686,,,
anchor,3,10.962,0,3.663,,,
anchor,2,11.023,0,3.386,,,
anchor,0,11.025,2,0.0,,,
