type,aid,timestamp,status,distance_m,azimuth_deg,elevation_deg,los
ios,1,0.014,,9.59550666809082,-28,282,0
ios,2,0.017,,8.371671676635742,-91,0,0
ios,3,0.017,,8.469843864440918,23,282,0
ios,2,0.017,,8.371671676635742,-91,0,0
ios,2,0.017,,8.371671676635742,-91,0,0
ios,1,0.017,,9.59550666809082,-28,282,0
ios,2,0.017,,8.371671676635742,-91,0,0
ios,1,0.017,,9.59550666809082,-28,282,0
ios,3,0.017,,8.469843864440918,23,282,0
ios,1,0.017,,9.59550666809082,-28,282,0
ios,3,0.023,,8.469843864440918,23,282,0
ios,3,0.026,,8.469843864440918,23,282,0
ios,3,0.029,,8.465254783630371,23,282,0
ios,3,0.029,,8.465254783630371,23,282,0
ios,1,0.029,,9.591706275939941,-28,282,0
ios,2,0.03,,8.373703956604004,-91,0,0
ios,2,0.031,,8.373703956604004,-91,0,0
ios,3,0.032,,8.465254783630371,23,282,0
ios,1,0.032,,9.591706275939941,-28,282,0
ios,2,0.032,,8.373703956604004,-91,0,0
ios,3,0.032,,8.465254783630371,23,282,0
ios,2,0.032,,8.373703956604004,-91,0,0
ios,1,0.033,,9.591706275939941,-28,282,0
ios,1,0.034,,9.591706275939941,-28,282,0
ios,2,0.055,,8.375667572021484,-91,0,0
ios,1,0.058,,9.587810516357422,-28,282,0
ios,3,0.058,,8.460918426513672,23,282,0
ios,3,0.058,,8.460918426513672,23,282,0
ios,2,0.058,,8.375667572021484,-91,0,0
ios,3,0.058,,8.460918426513672,23,282,0
ios,2,0.058,,8.375667572021484,-91,0,0
ios,3,0.058,,8.460918426513672,23,282,0
ios,1,0.058,,9.587810516357422,-28,282,0
ios,2,0.058,,8.375667572021484,-91,0,0
ios,1,0.06,,9.587810516357422,-28,282,0
ios,1,0.062,,9.587810516357422,-28,282,0
ios,3,0.065,,8.458257675170898,23,282,0
ios,2,0.065,,8.3749418258667,-91,0,0
ios,1,0.065,,9.58415412902832,-28,282,0
ios,1,0.065,,9.58415412902832,-28,282,0
ios,3,0.065,,8.458257675170898,23,282,0
ios,2,0.065,,8.3749418258667,-91,0,0
ios,3,0.065,,8.458257675170898,23,282,0
ios,2,0.065,,8.3749418258667,-91,0,0
ios,3,0.065,,8.458257675170898,23,282,0
ios,1,0.068,,9.58415412902832,-28,282,0
ios,2,0.07,,8.3749418258667,-91,0,0
ios,1,0.07,,9.58415412902832,-28,282,0
ios,1,0.085,,9.580303192138672,-28,282,0
ios,2,0.118,,8.375673294067383,-91,0,0
ios,2,0.118,,8.375673294067383,-91,0,0
ios,1,0.118,,9.580303192138672,-28,282,0
ios,1,0.118,,9.580303192138672,-28,282,0
ios,2,0.118,,8.375673294067383,-91,0,0
ios,3,0.118,,8.454837799072266,23,282,0
ios,1,0.119,,9.580303192138672,-28,282,0
ios,3,0.119,,8.454837799072266,23,282,0
ios,3,0.119,,8.454837799072266,23,282,0
ios,2,0.122,,8.375673294067383,-91,0,0
ios,3,0.123,,8.454837799072266,23,282,0
ios,1,0.124,,9.576437950134277,-28,282,0
ios,2,0.124,,8.37668514251709,-91,0,0
ios,3,0.124,,8.451310157775879,23,282,0
ios,1,0.124,,9.576437950134277,-28,282,0
ios,2,0.124,,8.37668514251709,-91,0,0
ios,2,0.124,,8.37668514251709,-91,0,0
ios,1,0.126,,9.576437950134277,-28,282,0
ios,2,0.126,,8.37668514251709,-91,0,0
ios,1,0.128,,9.576437950134277,-28,282,0
ios,3,0.128,,8.451310157775879,23,282,0
ios,3,0.128,,8.451310157775879,23,282,0
ios,3,0.128,,8.451310157775879,23,282,0
ios,3,0.128,,8.447908401489258,23,282,0
ios,2,0.128,,8.377598762512207,-91,0,0
ios,1,0.128,,9.57261848449707,-28,282,0
ios,2,0.129,,8.377598762512207,-91,0,0
ios,2,0.13,,8.377598762512207,-91,0,0
ios,3,0.13,,8.447908401489258,23,282,0
ios,2,0.134,,8.377598762512207,-91,0,0
ios,1,0.136,,9.57261848449707,-28,282,0
ios,1,0.137,,9.57261848449707,-28,282,0
ios,3,0.137,,8.447908401489258,23,282,0
ios,3,0.137,,8.447908401489258,23,282,0
ios,1,0.137,,9.57261848449707,-28,282,0
ios,3,0.137,,8.444706916809082,23,282,0
ios,2,0.137,,8.378253936767578,-91,0,0
ios,2,0.137,,8.378253936767578,-91,0,0
ios,3,0.137,,8.444706916809082,23,282,0
ios,1,0.141,,9.568841934204102,-28,282,0
ios,2,0.143,,8.378253936767578,-91,0,0
ios,1,0.143,,9.568841934204102,-28,282,0
ios,3,0.143,,8.444706916809082,23,282,0
ios,2,0.143,,8.378253936767578,-91,0,0
ios,1,0.143,,9.568841934204102,-28,282,0
ios,3,0.143,,8.444706916809082,23,282,0
ios,1,0.144,,9.568841934204102,-28,282,0
ios,1,0.146,,9.56510066986084,-28,282,0
ios,2,0.146,,8.378599166870117,-91,0,0
ios,3,0.148,,8.44173526763916,23,282,0
ios,2,0.148,,8.378599166870117,-91,0,0
ios,3,0.148,,8.44173526763916,23,282,0
ios,1,0.148,,9.56510066986084,-28,282,0
ios,2,0.148,,8.378599166870117,-91,0,0
ios,3,0.15,,8.44173526763916,23,282,0
ios,1,0.15,,9.56510066986084,-28,282,0
ios,2,0.15,,8.378599166870117,-91,0,0
ios,3,0.15,,8.44173526763916,23,282,0
ios,1,0.15,,9.56510066986084,-28,282,0
ios,3,0.178,,8.441295623779297,23,282,0
ios,2,0.181,,8.374458312988281,-91,0,0
ios,1,0.181,,9.563358306884766,-28,282,0
ios,3,0.181,,8.441295623779297,23,282,0
ios,3,0.182,,8.441295623779297,23,282,0
ios,1,0.182,,9.563358306884766,-28,282,0
ios,3,0.182,,8.441295623779297,23,282,0
ios,2,0.182,,8.374458312988281,-91,0,0
ios,1,0.182,,9.563358306884766,-28,282,0
ios,2,0.182,,8.374458312988281,-91,0,0
ios,1,0.185,,9.563358306884766,-28,282,0
ios,2,0.187,,8.374458312988281,-91,0,0
ios,1,0.187,,9.56019115447998,-28,282,0
ios,2,0.187,,8.372793197631836,-91,0,0
ios,2,0.187,,8.372793197631836,-91,0,0
ios,1,0.187,,9.56019115447998,-28,282,0
ios,1,0.187,,9.56019115447998,-28,282,0
ios,2,0.187,,8.372793197631836,-91,0,0
ios,1,0.187,,9.56019115447998,-28,282,0
ios,3,0.187,,8.439482688903809,23,282,0
ios,2,0.189,,8.372793197631836,-91,0,0
ios,3,0.191,,8.439482688903809,23,282,0
ios,3,0.191,,8.439482688903809,23,282,0
ios,3,0.191,,8.439482688903809,23,282,0
ios,3,0.2,,8.437295913696289,23,282,0
ios,1,0.204,,9.556488990783691,-28,282,0
ios,2,0.204,,8.371800422668457,-91,0,0
ios,2,0.204,,8.371800422668457,-91,0,0
ios,2,0.204,,8.371800422668457,-91,0,0
ios,2,0.204,,8.371800422668457,-91,0,0
ios,3,0.204,,8.437295913696289,23,282,0
ios,1,0.204,,9.556488990783691,-28,282,0
ios,1,0.204,,9.556488990783691,-28,282,0
ios,3,0.204,,8.437295913696289,23,282,0
ios,3,0.206,,8.437295913696289,23,282,0
ios,1,0.209,,9.556488990783691,-28,282,0
ios,3,0.214,,8.435015678405762,23,282,0
ios,2,0.216,,8.370976448059082,-91,0,0
ios,1,0.216,,9.552556991577148,-28,282,0
ios,2,0.216,,8.370976448059082,-91,0,0
ios,3,0.216,,8.435015678405762,23,282,0
ios,2,0.216,,8.370976448059082,-91,0,0
ios,2,0.216,,8.370976448059082,-91,0,0
ios,3,0.216,,8.435015678405762,23,282,0
ios,1,0.216,,9.552556991577148,-28,282,0
ios,3,0.216,,8.435015678405762,23,282,0
ios,1,0.218,,9.552556991577148,-28,282,0
ios,1,0.235,,9.552556991577148,-28,282,0
ios,2,0.237,,8.370183944702148,-91,0,0
ios,1,0.237,,9.548537254333496,-28,282,0
ios,2,0.237,,8.370183944702148,-91,0,0
ios,3,0.237,,8.432722091674805,23,282,0
ios,2,0.237,,8.370183944702148,-91,0,0
ios,3,0.237,,8.432722091674805,23,282,0
ios,1,0.237,,9.548537254333496,-28,282,0
ios,3,0.237,,8.432722091674805,23,282,0
ios,2,0.238,,8.370183944702148,-91,0,0
ios,1,0.239,,9.548537254333496,-28,282,0
ios,1,0.241,,9.548537254333496,-28,282,0
ios,3,0.241,,8.432722091674805,23,282,0
ios,1,0.241,,9.548537254333496,-28,282,0
ios,2,0.247,,8.369382858276367,-91,0,0
ios,3,0.251,,8.430407524108887,23,282,0
ios,1,0.251,,9.544524192810059,-28,282,0
ios,1,0.251,,9.544524192810059,-28,282,0
ios,2,0.251,,8.369382858276367,-91,0,0
ios,3,0.251,,8.430407524108887,23,282,0
ios,1,0.251,,9.544524192810059,-28,282,0
ios,2,0.251,,8.369382858276367,-91,0,0
ios,1,0.251,,9.544524192810059,-28,282,0
ios,2,0.251,,8.369382858276367,-91,0,0
ios,3,0.254,,8.430407524108887,23,282,0
ios,3,0.256,,8.430407524108887,23,282,0
ios,2,0.263,,8.365083694458008,-91,0,0
ios,2,0.265,,8.365083694458008,-91,0,0
ios,2,0.265,,8.365083694458008,-91,0,0
ios,1,0.265,,9.54184627532959,-28,282,0
ios,3,0.265,,8.431036949157715,23,282,0
ios,2,0.265,,8.365083694458008,-91,0,0
ios,1,0.265,,9.54184627532959,-28,282,0
ios,3,0.265,,8.431036949157715,23,282,0
ios,1,0.265,,9.54184627532959,-28,282,0
ios,3,0.265,,8.431036949157715,23,282,0
ios,1,0.269,,9.54184627532959,-28,282,0
ios,3,0.271,,8.431036949157715,23,282,0
ios,2,0.295,,8.36302375793457,-91,0,0
ios,3,0.301,,8.429643630981445,23,282,0
ios,3,0.301,,8.429643630981445,23,282,0
ios,1,0.301,,9.538394927978516,-28,282,0
ios,2,0.301,,8.36302375793457,-91,0,0
ios,3,0.301,,8.429643630981445,23,282,0
ios,1,0.301,,9.538394927978516,-28,282,0
ios,3,0.301,,8.429643630981445,23,282,0
ios,2,0.301,,8.36302375793457,-91,0,0
ios,1,0.301,,9.538394927978516,-28,282,0
ios,2,0.303,,8.36302375793457,-91,0,0
ios,1,0.306,,9.538394927978516,-28,282,0
ios,2,0.306,,8.361639022827148,-91,0,0
ios,1,0.306,,9.534636497497559,-28,282,0
ios,3,0.306,,8.427611351013184,23,282,0
ios,2,0.306,,8.361639022827148,-91,0,0
ios,2,0.306,,8.361639022827148,-91,0,0
ios,3,0.306,,8.427611351013184,23,282,0
ios,2,0.306,,8.361639022827148,-91,0,0
ios,1,0.307,,9.534636497497559,-28,282,0
ios,3,0.309,,8.427611351013184,23,282,0
ios,1,0.311,,9.534636497497559,-28,282,0
ios,3,0.311,,8.427611351013184,23,282,0
ios,1,0.311,,9.534636497497559,-28,282,0
ios,1,0.314,,9.530624389648438,-28,282,0
ios,2,0.315,,8.360475540161133,-91,0,0
ios,3,0.315,,8.425439834594727,23,282,0
ios,3,0.315,,8.425439834594727,23,282,0
ios,2,0.315,,8.360475540161133,-91,0,0
ios,3,0.315,,8.425439834594727,23,282,0
ios,1,0.315,,9.530624389648438,-28,282,0
ios,3,0.318,,8.425439834594727,23,282,0
ios,1,0.318,,9.530624389648438,-28,282,0
ios,2,0.318,,8.360475540161133,-91,0,0
ios,1,0.318,,9.530624389648438,-28,282,0
ios,2,0.32,,8.360475540161133,-91,0,0
ios,3,0.33,,8.423295021057129,23,282,0
ios,1,0.334,,9.526334762573242,-28,282,0
ios,2,0.334,,8.359420776367188,-91,0,0
ios,2,0.334,,8.359420776367188,-91,0,0
ios,1,0.334,,9.526334762573242,-28,282,0
ios,2,0.334,,8.359420776367188,-91,0,0
ios,3,0.334,,8.423295021057129,23,282,0
ios,3,0.334,,8.423295021057129,23,282,0
ios,1,0.335,,9.526334762573242,-28,282,0
ios,3,0.335,,8.423295021057129,23,282,0
ios,2,0.336,,8.359420776367188,-91,0,0
ios,1,0.338,,9.526334762573242,-28,282,0
ios,3,0.355,,8.4212064743042,23,282,0
ios,2,0.357,,8.358460426330566,-91,0,0
ios,2,0.357,,8.358460426330566,-91,0,0
ios,1,0.357,,9.521817207336426,-28,282,0
ios,1,0.357,,9.521817207336426,-28,282,0
ios,3,0.357,,8.4212064743042,23,282,0
ios,2,0.357,,8.358460426330566,-91,0,0
ios,2,0.357,,8.358460426330566,-91,0,0
ios,1,0.357,,9.521817207336426,-28,282,0
ios,3,0.358,,8.4212064743042,23,282,0
ios,3,0.36,,8.4212064743042,23,282,0
ios,1,0.36,,9.521817207336426,-28,282,0
ios,1,0.365,,9.518266677856445,-28,282,0
ios,2,0.365,,8.355359077453613,-91,0,0
ios,3,0.365,,8.420486450195312,23,282,0
ios,1,0.365,,9.518266677856445,-28,282,0
ios,1,0.365,,9.518266677856445,-28,282,0
