type,aid,timestamp,status,distance_m,azimuth_deg,elevation_deg,los
ios,0,0.005,,5.4622111320495605,0,141,0
ios,1,0.005,,9.197254180908203,0,141,0
ios,1,0.005,,9.197254180908203,0,141,0
ios,0,0.005,,5.4622111320495605,0,141,0
ios,1,0.008,,9.197254180908203,0,141,0
ios,2,0.008,,9.381945610046387,0,141,0
ios,0,0.008,,5.4622111320495605,0,141,0
ios,1,0.008,,9.197254180908203,0,141,0
ios,0,0.008,,5.4622111320495605,0,141,0
ios,2,0.008,,9.381945610046387,0,141,0
ios,2,0.009,,9.381945610046387,0,141,0
ios,1,0.015,,9.197254180908203,0,141,0
ios,0,0.021,,5.459195613861084,0,141,0
ios,2,0.021,,9.383490562438965,0,141,0
ios,1,0.021,,9.197254180908203,0,141,0
ios,0,0.021,,5.459195613861084,0,141,0
ios,0,0.021,,5.459195613861084,0,141,0
ios,1,0.021,,9.197254180908203,0,141,0
ios,0,0.021,,5.459195613861084,0,141,0
ios,1,0.021,,9.197254180908203,0,141,0
ios,2,0.021,,9.383490562438965,0,141,0
ios,2,0.022,,9.383490562438965,0,141,0
ios,2,0.026,,9.383490562438965,0,141,0
ios,0,0.032,,5.455777168273926,0,141,0
ios,0,0.05,,5.455777168273926,0,141,0
ios,2,0.05,,9.385842323303223,0,141,0
ios,2,0.05,,9.385842323303223,0,141,0
ios,1,0.05,,9.197254180908203,0,141,0
ios,2,0.05,,9.385842323303223,0,141,0
ios,1,0.05,,9.197254180908203,0,141,0
ios,0,0.05,,5.455777168273926,0,141,0
ios,1,0.05,,9.197254180908203,0,141,0
ios,0,0.05,,5.455777168273926,0,141,0
ios,2,0.052,,9.385842323303223,0,141,0
ios,1,0.055,,9.197254180908203,0,141,0
ios,1,0.055,,9.197254180908203,0,141,0
ios,0,0.055,,5.4530181884765625,0,141,0
ios,2,0.055,,9.387535095214844,0,141,0
ios,1,0.055,,9.197254180908203,0,141,0
ios,0,0.055,,5.4530181884765625,0,141,0
ios,1,0.055,,9.197254180908203,0,141,0
ios,0,0.055,,5.4530181884765625,0,141,0
ios,2,0.058,,9.387535095214844,0,141,0
ios,1,0.063,,9.197254180908203,0,141,0
ios,2,0.076,,9.387535095214844,0,141,0
ios,0,0.076,,5.4530181884765625,0,141,0
ios,2,0.076,,9.387535095214844,0,141,0
ios,1,0.076,,9.197254180908203,0,141,0
ios,0,0.08,,5.450626373291016,0,141,0
ios,2,0.08,,9.388960838317871,0,141,0
ios,0,0.08,,5.450626373291016,0,141,0
ios,1,0.08,,9.197254180908203,0,141,0
ios,0,0.08,,5.450626373291016,0,141,0
ios,1,0.08,,9.197254180908203,0,141,0
ios,2,0.083,,9.388960838317871,0,141,0
ios,1,0.083,,9.197254180908203,0,141,0
ios,2,0.083,,9.388960838317871,0,141,0
ios,2,0.083,,9.388960838317871,0,141,0
ios,0,0.088,,5.450626373291016,0,141,0
ios,2,0.091,,9.390384674072266,0,141,0
