type,aid,timestamp,status,distance_m,azimuth_deg,elevation_deg,los
anchor,2,0.011,2,0.0,,,
anchor,3,0.011,2,0.0,,,
anchor,0,0.011,2,0.0,,,
anchor,1,0.011,2,0.0,,,
anchor,2,5.459,2,0.0,,,
anchor,2,5.657,2,0.0,,,
anchor,2,5.864,0,2.443,,,
ios,2,5.891,,2.4451072216033936,0,141,0
anchor,2,6.062,3,0.0,,,
anchor,3,6.066,2,0.0,,,
ios,2,6.104,,2.491725444793701,0,141,0
anchor,3,6.229,2,0.0,,,
anchor,2,6.26,3,0.0,,,
ios,2,6.267,,2.4470083713531494,0,141,0
anchor,1,6.344,2,0.0,,,
anchor,3,6.4,0,3.691,,,
ios,3,6.406,,3.6874473094940186,0,141,0
anchor,2,6.458,3,0.0,,,
ios,2,6.468,,2.429865598678589,0,141,0
anchor,1,6.524,2,0.0,,,
anchor,3,6.562,0,3.653,,,
ios,3,6.567,,3.6624128818511963,0,141,0
anchor,2,6.656,0,2.406,,,
ios,2,6.665,,2.413555145263672,0,141,0
anchor,1,6.704,2,0.0,,,
anchor,3,6.724,0,3.592,,,
ios,3,6.734,,3.616459846496582,0,141,0
anchor,2,6.854,0,2.373,,,
ios,2,6.863,,2.387911796569824,0,141,0
anchor,1,6.883,2,0.0,,,
anchor,3,6.885,0,3.677,,,
ios,3,6.938,,3.65273118019104,0,141,0
anchor,2,7.043,2,0.0,,,
anchor,3,7.048,0,3.653,,,
ios,3,7.053,,3.6512064933776855,0,141,0
anchor,1,7.064,2,0.0,,,
anchor,3,7.201,2,0.0,,,
anchor,2,7.241,5,0.0,,,
anchor,1,7.245,2,0.0,,,
anchor,3,7.362,2,0.0,,,
anchor,1,7.433,0,5.891,,,
anchor,2,7.439,2,0.0,,,
ios,1,7.444,,5.887024402618408,0,141,0
anchor,3,7.534,0,3.808,,,
ios,3,7.54,,3.7721896171569824,0,141,0
anchor,1,7.614,0,5.881,,,
ios,1,7.618,,5.878870010375977,0,141,0
anchor,0,7.627,2,0.0,,,
anchor,2,7.646,3,0.0,,,
ios,2,7.672,,2.412787675857544,0,141,0
anchor,3,7.696,0,3.813,,,
ios,3,7.753,,3.808563470840454,-13,137,1
anchor,1,7.793,0,5.853,,,
ios,1,7.803,,5.849250793457031,65,121,1
anchor,0,7.824,2,0.0,,,
anchor,2,7.835,2,0.0,,,
anchor,3,7.848,2,0.0,,,
anchor,1,7.964,2,0.0,,,
anchor,3,8.01,2,0.0,,,
anchor,0,8.032,0,5.107,,,
anchor,2,8.033,2,0.0,,,
ios,0,8.041,,5.105765342712402,0,141,0
anchor,1,8.154,0,5.867,,,
ios,1,8.159,,5.860642910003662,64,122,1
anchor,3,8.182,0,3.705,,,
ios,3,8.198,,3.702136993408203,-1,134,1
anchor,0,8.23,2,0.0,,,
anchor,2,8.24,3,0.0,,,
ios,2,8.254,,2.418395519256592,0,141,0
anchor,1,8.332,0,5.867,,,
anchor,3,8.333,2,0.0,,,
ios,1,8.344,,5.860043048858643,63,120,1
anchor,0,8.428,0,5.173,,,
anchor,2,8.429,2,0.0,,,
ios,0,8.451,,5.153721809387207,0,141,0
anchor,1,8.505,2,0.0,,,
anchor,3,8.506,0,3.691,,,
ios,3,8.523,,3.686847686767578,0,134,1
anchor,0,8.625,2,0.0,,,
anchor,2,8.636,0,2.392,,,
ios,2,8.639,,2.397719144821167,0,141,0
anchor,3,8.667,0,3.616,,,
ios,3,8.675,,3.612199306488037,-2,131,1
anchor,1,8.693,0,5.858,,,
ios,1,8.729,,5.854646682739258,64,120,1
anchor,3,8.821,5,0.0,,,
anchor,0,8.823,0,5.14,,,
anchor,2,8.824,2,0.0,,,
ios,0,8.833,,5.142036437988281,0,141,0
anchor,1,8.874,0,5.881,,,
ios,1,8.895,,5.8744330406188965,64,119,1
anchor,3,8.992,0,3.677,,,
ios,3,9.005,,3.6763548851013184,-8,124,1
anchor,0,9.022,2,0.0,,,
anchor,2,9.032,3,0.0,,,
anchor,1,9.053,0,5.877,,,
anchor,3,9.154,0,3.696,,,
anchor,0,9.22,0,5.117,,,
anchor,2,9.222,5,0.0,,,
anchor,1,9.224,2,0.0,,,
anchor,3,9.316,0,3.672,,,
anchor,0,9.409,2,0.0,,,
anchor,1,9.412,0,5.895,,,
anchor,2,9.419,2,0.0,,,
anchor,3,9.478,0,3.696,,,
anchor,1,9.593,0,5.905,,,
anchor,0,9.616,0,5.107,,,
anchor,2,9.617,2,0.0,,,
anchor,3,9.64,0,3.696,,,
anchor,1,9.773,0,5.905,,,
anchor,3,9.801,0,3.663,,,
anchor,0,9.804,2,0.0,,,
anchor,2,9.823,3,0.0,,,
anchor,1,9.953,0,5.867,,,
anchor,3,9.954,2,0.0,,,
anchor,0,10.012,0,5.131,,,
anchor,2,10.014,2,0.0,,,
anchor,1,10.125,2,0.0,,,
anchor,3,10.126,0,3.766,,,
anchor,0,10.21,2,0.0,,,
anchor,2,10.22,0,2.448,,,
anchor,3,10.287,0,3.761,,,
anchor,1,10.313,0,5.82,,,
anchor,0,10.408,0,5.004,,,
anchor,2,10.409,2,0.0,,,
anchor,3,10.449,0,3.799,,,
anchor,1,10.493,0,5.787,,,
anchor,3,10.603,2,0.0,,,
anchor,0,10.605,2,0.0,,,
anchor,2,10.616,0,8.273,,,
anchor,1,10.673,0,5.736,,,
anchor,3,10.774,0,3.892,,,
ios,2,10.778,,2.3674910068511963,0,141,0
ios,1,10.778,,5.871735095977783,59,112,1
ios,3,10.778,,3.694941997528076,-23,122,1
ios,0,10.778,,5.11890172958374,0,141,0
ios,3,10.778,,3.6703591346740723,-26,122,1
ios,1,10.778,,5.88972282409668,55,109,1
ios,3,10.778,,3.6913444995880127,-34,123,1
ios,1,10.778,,5.898716449737549,50,107,1
ios,0,10.778,,5.1081767082214355,0,141,0
anchor,0,10.804,0,4.802,,,
anchor,2,10.805,2,0.0,,,
anchor,1,10.853,0,5.74,,,
ios,3,10.862,,3.694042682647705,-37,124,1
anchor,3,10.936,0,3.939,,,
ios,1,10.95,,5.897517204284668,48,105,1
ios,3,10.951,,3.6589670181274414,-38,122,1
ios,2,10.951,,2.451662302017212,0,141,0
ios,1,10.951,,5.873884677886963,48,105,0
ios,0,10.951,,5.120994567871094,0,141,0
ios,3,10.951,,3.761496067047119,-44,118,1
ios,2,10.952,,2.4496190547943115,0,141,0
ios,3,10.952,,3.759397506713867,-59,115,1
ios,1,10.952,,5.831535339355469,48,105,0
ios,0,10.954,,5.027579307556152,0,141,0
anchor,0,11.002,2,0.0,,,
anchor,2,11.011,3,0.0,,,
anchor,1,11.033,0,5.642,,,
ios,3,11.047,,3.7977709770202637,-81,124,1
ios,1,11.097,,5.799140930175781,48,105,0
ios,2,11.097,,2.4496190547943115,0,141,0
ios,1,11.098,,5.7558207511901855,48,105,0
ios,3,11.098,,3.861262083053589,-81,124,0
ios,0,11.098,,4.854126930236816,0,141,0
ios,1,11.098,,5.743123531341553,48,105,0
ios,3,11.098,,3.909071207046509,-81,124,0
ios,2,11.098,,2.4496190547943115,0,141,0
ios,1,11.098,,5.675785541534424,48,105,0
anchor,3,11.098,0,3.977,,,
