type,aid,timestamp,status,distance_m,azimuth_deg,elevation_deg,los
anchor,2,0.011,2,0.0,,,
anchor,3,0.011,2,0.0,,,
anchor,0,0.011,2,0.0,,,
anchor,1,0.011,2,0.0,,,
anchor,1,6.746,2,0.0,,,
anchor,1,6.944,2,0.0,,,
anchor,1,7.151,0,5.792,,,
ios,1,7.166,,5.786294460296631,0,141,0
anchor,1,7.349,0,5.792,,,
ios,1,7.36,,5.787744522094727,0,141,0
anchor,2,7.533,2,0.0,,,
anchor,1,7.547,0,5.778,,,
ios,1,7.569,,5.779682159423828,0,141,0
anchor,2,7.695,2,0.0,,,
anchor,1,7.745,2,0.0,,,
anchor,0,7.781,2,0.0,,,
anchor,2,7.866,3,0.0,,,
ios,2,7.874,,2.47328782081604,0,141,0
anchor,1,7.942,0,5.806,,,
ios,1,7.949,,5.797421455383301,0,141,0
anchor,0,7.96,2,0.0,,,
anchor,2,8.028,0,2.448,,,
ios,2,8.048,,2.456865072250366,0,141,0
anchor,1,8.141,0,5.825,,,
anchor,0,8.141,5,0.0,,,
ios,1,8.145,,5.8125762939453125,0,141,0
anchor,2,8.19,0,2.485,,,
ios,2,8.197,,2.475054979324341,0,141,0
anchor,0,8.321,2,0.0,,,
anchor,1,8.338,0,5.811,,,
anchor,2,8.342,2,0.0,,,
ios,1,8.375,,5.807727813720703,0,141,0
anchor,0,8.502,2,0.0,,,
anchor,2,8.505,2,0.0,,,
anchor,1,8.527,2,0.0,,,
anchor,2,8.667,2,0.0,,,
anchor,0,8.69,0,5.21,,,
ios,0,8.708,,5.207695007324219,0,141,0
anchor,1,8.735,0,5.834,,,
anchor,2,8.838,0,2.415,,,
anchor,0,8.87,0,5.178,,,
anchor,1,8.933,0,5.83,,,
anchor,2,9.0,3,0.0,,,
ios,1,9.039,,5.8226118087768555,0,141,0
ios,2,9.039,,2.4242026805877686,0,141,0
ios,0,9.039,,5.1860857009887695,0,141,0
ios,1,9.039,,5.824068069458008,80,126,1
ios,2,9.039,,2.3849432468414307,0,141,0
anchor,0,9.05,0,5.164,,,
ios,0,9.067,,5.168353080749512,0,141,0
anchor,1,9.131,0,5.816,,,
ios,1,9.156,,5.809678077697754,80,126,1
anchor,2,9.162,3,0.0,,,
anchor,0,9.23,0,5.196,,,
ios,2,9.233,,2.410327911376953,0,141,0
anchor,1,9.32,2,0.0,,,
anchor,2,9.324,0,2.396,,,
ios,0,9.338,,5.182377338409424,0,141,0
ios,2,9.394,,2.4002814292907715,0,141,0
anchor,0,9.41,0,5.201,,,
anchor,2,9.486,0,2.378,,,
anchor,1,9.527,0,5.867,,,
anchor,0,9.59,0,5.262,,,
anchor,2,9.648,0,2.396,,,
anchor,1,9.725,0,5.834,,,
anchor,0,9.77,0,5.21,,,
ios,0,9.805,,5.192603588104248,0,141,0
ios,2,9.805,,2.386061191558838,0,141,0
ios,1,9.805,,5.849236488342285,80,126,0
ios,0,9.805,,5.233797073364258,0,141,0
ios,2,9.805,,2.3916306495666504,0,141,0
ios,1,9.805,,5.834667205810547,80,126,0
ios,0,9.805,,5.215993404388428,0,141,0
anchor,2,9.81,0,2.457,,,
ios,2,9.813,,2.43074369430542,0,141,0
anchor,1,9.922,0,5.83,,,
ios,1,9.932,,5.825267314910889,84,135,1
anchor,0,9.949,0,5.234,,,
ios,0,9.961,,5.223515033721924,0,141,0
anchor,2,9.972,0,2.424,,,
ios,2,9.979,,2.4266371726989746,0,141,0
anchor,1,10.121,0,5.83,,,
anchor,0,10.121,5,0.0,,,
anchor,2,10.124,2,0.0,,,
ios,1,10.135,,5.8264665603637695,82,134,1
anchor,2,10.296,0,2.354,,,
anchor,0,10.301,2,0.0,,,
anchor,1,10.319,0,5.844,,,
anchor,2,10.459,0,2.424,,,
anchor,0,10.49,0,5.22,,,
anchor,1,10.517,0,5.848,,,
ios,2,10.599,,2.3749935626983643,0,141,0
ios,1,10.599,,5.840256690979004,82,134,1
ios,2,10.599,,2.405608654022217,0,141,0
ios,0,10.599,,5.216850280761719,0,141,0
ios,1,10.599,,5.8417558670043945,82,132,1
anchor,2,10.62,3,0.0,,,
ios,2,10.631,,2.381498098373413,0,141,0
anchor,0,10.67,0,5.22,,,
ios,0,10.691,,5.217138290405273,0,141,0
anchor,1,10.715,0,5.848,,,
ios,1,10.725,,5.841455936431885,82,132,1
anchor,2,10.782,3,0.0,,,
ios,2,10.794,,2.3992018699645996,0,141,0
anchor,0,10.85,0,5.196,,,
ios,0,10.866,,5.199947357177734,0,141,0
anchor,3,10.893,2,0.0,,,
anchor,1,10.913,0,5.858,,,
ios,1,10.937,,5.8519487380981445,79,130,1
anchor,2,10.944,3,0.0,,,
ios,2,10.95,,2.4183757305145264,0,141,0
anchor,0,11.03,0,5.239,,,
ios,0,11.035,,5.222118854522705,0,141,0
anchor,3,11.092,5,0.0,,,
anchor,1,11.102,2,0.0,,,
anchor,2,11.105,2,0.0,,,
anchor,0,11.201,2,0.0,,,
anchor,2,11.259,2,0.0,,,
anchor,3,11.299,0,3.921,,,
anchor,1,11.301,2,0.0,,,
ios,3,11.309,,3.917088270187378,0,141,0
anchor,0,11.39,0,5.225,,,
ios,0,11.409,,5.220312118530273,0,141,0
anchor,2,11.43,3,0.0,,,
ios,2,11.437,,2.442193031311035,0,141,0
anchor,3,11.496,2,0.0,,,
anchor,1,11.507,0,5.825,,,
ios,1,11.52,,5.821969509124756,73,128,1
anchor,0,11.57,0,5.164,,,
anchor,2,11.592,3,0.0,,,
ios,0,11.597,,5.180853843688965,0,141,0
ios,2,11.672,,2.520350456237793,0,141,0
anchor,3,11.693,0,3.658,,,
anchor,1,11.695,2,0.0,,,
anchor,2,11.745,2,0.0,,,
anchor,0,11.75,0,5.112,,,
ios,3,11.759,,3.715484380722046,0,141,0
ios,0,11.759,,5.135113716125488,0,141,0
anchor,3,11.892,2,0.0,,,
anchor,1,11.903,0,5.745,,,
anchor,2,11.906,2,0.0,,,
ios,1,11.922,,5.74192476272583,33,109,1
anchor,0,11.93,0,5.051,,,
ios,0,12.06,,5.077917098999023,0,141,0
anchor,2,12.078,3,0.0,,,
anchor,3,12.081,2,0.0,,,
anchor,1,12.091,2,0.0,,,
anchor,0,12.11,0,5.018,,,
ios,0,12.12,,5.015827655792236,72,44,1
anchor,2,12.239,3,0.0,,,
anchor,0,12.28,2,0.0,,,
anchor,3,12.287,0,3.667,,,
anchor,1,12.288,2,0.0,,,
ios,3,12.319,,3.674412250518799,0,141,0
anchor,2,12.401,3,0.0,,,
anchor,0,12.47,0,5.046,,,
ios,0,12.487,,5.04276180267334,72,44,0
anchor,3,12.487,2,0.0,,,
anchor,1,12.489,2,0.0,,,
anchor,2,12.564,0,2.645,,,
ios,2,12.574,,2.6286473274230957,0,141,0
anchor,0,12.65,0,5.042,,,
ios,0,12.659,,5.039863586425781,72,44,0
anchor,3,12.685,0,3.677,,,
anchor,1,12.686,2,0.0,,,
anchor,2,12.726,3,0.0,,,
ios,3,12.729,,3.674062728881836,0,141,0
anchor,0,12.83,0,5.046,,,
ios,0,12.842,,5.041609764099121,76,53,1
anchor,3,12.872,5,0.0,,,
anchor,2,12.878,2,0.0,,,
